#ahum.dat absolute Humidity				
@dataValueAttribs				
rhum	0	100.00	%
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.02.1993 07:30			
dataEnd	31.12.1999 07:30			
tres	d			
@statAttribVal				
name	Pietersburg	Mara	Warmbad 	
ID	0677502BX	07220991	05895941	
elevation	1226.00	897.00	1143.00	
x	138407.24429	148732.01844	28031.37226	
y	7355629.19	7435738.17	7238014.66	
dataColumn	1	2	3	
@dataVal				
23.10.1993	07:30	11.03122962	13.86897978	10.98553286
24.10.1993	07:30	11.27822149	11.81223772	9.356400231
25.10.1993	07:30	9.710827413	11.69002	9.259592334
26.10.1993	07:30	9.006272662	10.50967013	8.324644516
27.10.1993	07:30	8.796970643	9.731215652	7.708035556
28.10.1993	07:30	12.3145986	9.598674363	7.603050424
29.10.1993	07:30	10.91460116	13.14099899	10.40890379
30.10.1993	07:30	10.5320407	11.90297839	9.428275351
31.10.1993	07:30	8.361514336	8.206044733	6.499957132
01.11.1993	07:30	11.47275478	14.32638946	11.34784423
02.11.1993	07:30	10.23598941	11.7961042	9.343620963
03.11.1993	07:30	10.33097474	10.29017067	8.150780357
04.11.1993	07:30	7.89399269	10.0844989	7.987869024
05.11.1993	07:30	8.872974543	9.574119961	7.583601034
06.11.1993	07:30	9.387541651	10.99729705	8.710890782
07.11.1993	07:30	7.507901537	7.611358238	6.028909648
08.11.1993	07:30	7.983298068	10.56054444	8.364941747
09.11.1993	07:30	6.816292543	7.427095462	5.882956246
10.11.1993	07:30	6.661539366	7.50836815	5.947331838
11.11.1993	07:30	12.75498443	11.94431883	9.461020857
12.11.1993	07:30	12.34924618	13.85373603	10.97345838
13.11.1993	07:30	10.1285858	11.67127463	9.244744243
14.11.1993	07:30	9.111075045	11.58922734	9.179755091
15.11.1993	07:30	7.304951014	11.20442742	8.874957461
16.11.1993	07:30	6.423060514	7.95577435	6.301719514
17.11.1993	07:30	9.765653972	10.82856941	8.577242663
18.11.1993	07:30	9.163842042	10.53782528	8.34694604
19.11.1993	07:30	10.26021464	10.93817887	8.664063632
20.11.1993	07:30	10.81169335	11.43508072	9.05765651
21.11.1993	07:30	9.365945191	10.37375683	8.216988438
22.11.1993	07:30	10.29718169	10.35313581	8.200654654
23.11.1993	07:30	13.45951604	19.45169029	15.40756322
24.11.1993	07:30	10.91535925	11.76998499	9.322932105
25.11.1993	07:30	10.88793802	12.02323322	9.523528455
26.11.1993	07:30	12.96134995	14.38772615	11.39642864
27.11.1993	07:30	11.70760306	13.86898082	10.98553368
28.11.1993	07:30	12.23274724	13.04585905	10.33354403
29.11.1993	07:30	10.81282143	15.21855269	12.05452119
30.11.1993	07:30	13.15726772	11.62576975	9.208700109
01.12.1993	07:30	8.687238196	11.19344669	8.866259693
02.12.1993	07:30	9.312042827	11.25004623	8.91109184
03.12.1993	07:30	10.67070307	14.83897141	11.75385721
04.12.1993	07:30	13.03530041	16.95651845	13.43115309
05.12.1993	07:30	12.45377776	18.86793857	14.94517711
06.12.1993	07:30	13.4546215	15.41913102	12.21339804
07.12.1993	07:30	11.01170486	11.25998352	8.918963102
08.12.1993	07:30	12.19083509	18.65802649	14.77890705
09.12.1993	07:30	14.6337451	16.6733091	13.20682471
10.12.1993	07:30	13.20601029	16.8463633	13.34389988
11.12.1993	07:30	11.08629279	13.4525468	10.65567887
12.12.1993	07:30	10.48190054	13.7845446	10.91865227
13.12.1993	07:30	9.311099949	12.91470158	10.22965501
14.12.1993	07:30	8.447590246	9.145568592	7.244148153
15.12.1993	07:30	8.173072015	9.945389935	7.877681677
16.12.1993	07:30	9.857598309	13.54689061	10.73040802
17.12.1993	07:30	10.36515451	14.53195444	11.51067097
18.12.1993	07:30	10.76094821	12.0580255	9.551087201
19.12.1993	07:30	11.31735317	14.11590384	11.18111987
20.12.1993	07:30	11.12761344	13.76966234	10.90686413
21.12.1993	07:30	11.22853705	13.59615743	10.76943197
22.12.1993	07:30	10.54666118	11.82874839	9.369478225
23.12.1993	07:30	11.87001412	15.11632926	11.97355064
24.12.1993	07:30	10.16487282	12.5333934	9.927623172
25.12.1993	07:30	8.835934778	10.00621287	7.92585915
26.12.1993	07:30	8.48058093	10.07942015	7.983846182
27.12.1993	07:30	12.18334334	15.21469971	12.05146927
28.12.1993	07:30	15.33740471	18.0521806	14.29902028
29.12.1993	07:30	12.73035755	14.86195132	11.77205945
30.12.1993	07:30	14.92684518	21.35502863	16.91518571
31.12.1993	07:30	13.07148415	14.42066987	11.42252315
01.01.1994	07:30	14.04578213	15.57400876	12.33607573
02.01.1994	07:30	13.50906632	16.05548361	12.71744898
03.01.1994	07:30	14.85419092	17.3946294	13.77817805
04.01.1994	07:30	13.45580023	16.07386314	12.73200729
05.01.1994	07:30	9.935986536	11.80242258	9.348625721
06.01.1994	07:30	10.33106426	12.51287372	9.911369657
07.01.1994	07:30	7.830347878	10.10222545	8.001910115
08.01.1994	07:30	7.753821434	11.2497826	8.910883013
