#rhum.dat relative Humidity				
@dataValueAttribs				
rhum	0	100	%	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1979 07:30			
dataEnd	31.12.2000 07:30			
tres	d			
@statAttribVal				
name	Artern	Erfurt	Schmücke	
ID	198	1270	4501	
elevation	164	316	937	
x	4451274	4427446	4412785	
y	5694380	5650160	5613300	
dataColumn	1	2	3	
@dataVal		
12.12.1980	07:30	86	87	99
13.12.1980	07:30	77	79	97
14.12.1980	07:30	79	81	100
15.12.1980	07:30	77	84	100
16.12.1980	07:30	76	77	96
17.12.1980	07:30	80	82	98
18.12.1980	07:30	80	85	98
19.12.1980	07:30	84	85	98
20.12.1980	07:30	84	88	98
21.12.1980	07:30	81	87	99
22.12.1980	07:30	77	86	98
23.12.1980	07:30	83	90	99
24.12.1980	07:30	75	84	100
25.12.1980	07:30	68	78	100
26.12.1980	07:30	78	85	99
27.12.1980	07:30	84	90	98
28.12.1980	07:30	80	84	94
29.12.1980	07:30	78	80	98
30.12.1980	07:30	83	90	99
31.12.1980	07:30	78	80	99
01.01.1981	07:30	85	88	97
02.01.1981	07:30	89	89	97
03.01.1981	07:30	81	84	99
04.01.1981	07:30	85	84	97
05.01.1981	07:30	82	89	94
06.01.1981	07:30	87	92	93
07.01.1981	07:30	83	89	91
08.01.1981	07:30	86	88	88
09.01.1981	07:30	84	83	91
10.01.1981	07:30	91	93	95
11.01.1981	07:30	89	89	94
12.01.1981	07:30	86	83	93
13.01.1981	07:30	86	87	94
14.01.1981	07:30	87	84	93
15.01.1981	07:30	83	91	96
16.01.1981	07:30	74	83	94
17.01.1981	07:30	86	89	97
18.01.1981	07:30	94	96	97
19.01.1981	07:30	90	91	96
20.01.1981	07:30	83	88	95
21.01.1981	07:30	85	84	94
22.01.1981	07:30	92	84	93
23.01.1981	07:30	88	82	93
24.01.1981	07:30	73	78	95
25.01.1981	07:30	85	85	95
26.01.1981	07:30	78	85	94
27.01.1981	07:30	91	83	94
28.01.1981	07:30	91	93	95
29.01.1981	07:30	94	95	74
30.01.1981	07:30	89	75	67
31.01.1981	07:30	84	73	74
01.02.1981	07:30	78	73	67
02.02.1981	07:30	78	70	71
03.02.1981	07:30	80	79	90
04.02.1981	07:30	90	92	98
05.02.1981	07:30	84	84	96
06.02.1981	07:30	92	89	97
07.02.1981	07:30	89	88	100
08.02.1981	07:30	82	83	100
09.02.1981	07:30	86	85	99
10.02.1981	07:30	80	79	93
11.02.1981	07:30	80	84	81
12.02.1981	07:30	85	88	77
13.02.1981	07:30	85	86	91
