# rain.dat rainfall uncorrected							
@dataValueAttribs							
rain	0	9999	mm				
@dataSetAttribs							
missingDataVal	-99						
dataStart	01.01.1970	07:30:00					
dataEnd	31.12.2000	07:30:00					
tres	d						
@statAttribVal							
name		TANNA	OETTERSDORF	PAHREN	STAITZ (TAL	GOEHREN-DOE	GOESCHITZ
05.09.1970	07:30:00	1.270398748	0.88522541	0	0.88522541	0.88522541	0
06.09.1970	07:30:00	0	0	0	0	0	0
07.09.1970	07:30:00	0	0	0	0	0	0
08.09.1970	07:30:00	1.570702139	0	0	0	0	0
09.09.1970	07:30:00	0	0	0	0	0	0
10.09.1970	07:30:00	5.112721579	0.667815292	0.88522541	0.667815292	0.667815292	1.270398748
11.09.1970	07:30:00	2.785479159	5.314712248	4.101911613	5.314712248	5.314712248	3.494663197
12.09.1970	07:30:00	2.177321018	0.667815292	0	0.667815292	0.720722958	0.797750995
13.09.1970	07:30:00	2.481381192	0	0.88522541	0	0	0.797750995
14.09.1970	07:30:00	0	0	0	0	0	0
15.09.1970	07:30:00	0	0.692979055	0	0.692979055	0.667815292	0.667815292
16.09.1970	07:30:00	0	0.692979055	0	0.692979055	0.692979055	0
17.09.1970	07:30:00	0	0	0	0	0	0
18.09.1970	07:30:00	0	0	0	0	0	0
19.09.1970	07:30:00	0	0	0	0	0	0
20.09.1970	07:30:00	0	0	0	0	0	0
21.09.1970	07:30:00	0.88522541	2.076013625	3.393396622	2.076013625	2.076013625	1.873556461
22.09.1970	07:30:00	0	0	0	0	0	0
23.09.1970	07:30:00	0	0	0	0	0	0
24.09.1970	07:30:00	0	0	0	0	0	0
25.09.1970	07:30:00	0	1.270398748	0.797750995	1.270398748	1.270398748	0
26.09.1970	07:30:00	4.607503752	2.278658685	3.190814944	2.278658685	2.177321018	4.101911613
27.09.1970	07:30:00	0	0	0	0	0	0
28.09.1970	07:30:00	0	0	0	0	0	0
29.09.1970	07:30:00	0	0	0	0	0	0
30.09.1970	07:30:00	9.446795882	12.16211461	7.835899286	12.16211461	11.86056438	11.35790444
