#abc annual data set from leaf river
@{time_format='dd.mm.yyyy hh:mm'}			

time	precip	runoff	
===================================			
09.04.1991 07:30	0.02	1.26
10.04.1991 07:30	0.00	1.26
11.04.1991 07:30	0.00	1.06
12.04.1991 07:30	0.00	1.06
13.04.1991 07:30	0.00	1.06
14.04.1991 07:30	0.00	1.06
15.04.1991 07:30	0.00	1.00
16.04.1991 07:30	1.11	1.00
17.04.1991 07:30	10.07	1.00
18.04.1991 07:30	2.15	1.00
19.04.1991 07:30	3.15	1.00
20.04.1991 07:30	4.49	1.00
21.04.1991 07:30	1.00	1.00
22.04.1991 07:30	10.91	1.00
23.04.1991 07:30	2.35	1.00
24.04.1991 07:30	4.07	1.00
25.04.1991 07:30	1.62	1.00
26.04.1991 07:30	0.01	1.00
27.04.1991 07:30	0.00	1.00
28.04.1991 07:30	5.83	1.00
29.04.1991 07:30	0.41	1.00
30.04.1991 07:30	24.90	1.00
01.05.1991 07:30	3.12	1.99
02.05.1991 07:30	1.24	1.79
03.05.1991 07:30	0.02	1.66
04.05.1991 07:30	0.38	1.60
05.05.1991 07:30	0.29	1.60
06.05.1991 07:30	1.00	1.46
07.05.1991 07:30	0.32	1.46
08.05.1991 07:30	0.00	1.40
09.05.1991 07:30	0.00	1.40
10.05.1991 07:30	1.76	1.40
11.05.1991 07:30	4.90	1.40
12.05.1991 07:30	0.05	1.40
13.05.1991 07:30	2.53	1.26
14.05.1991 07:30	8.50	1.20
15.05.1991 07:30	10.78	1.20
16.05.1991 07:30	0.27	1.20
17.05.1991 07:30	0.18	1.06
18.05.1991 07:30	0.28	1.00
19.05.1991 07:30	0.00	1.00
20.05.1991 07:30	0.40	1.00
21.05.1991 07:30	0.71	1.00
22.05.1991 07:30	0.00	1.00
23.05.1991 07:30	1.74	1.00
24.05.1991 07:30	0.91	1.00
25.05.1991 07:30	8.22	1.00
26.05.1991 07:30	0.78	1.00
27.05.1991 07:30	0.00	1.00
28.05.1991 07:30	0.00	0.93
29.05.1991 07:30	0.73	0.93
30.05.1991 07:30	0.00	0.93
31.05.1991 07:30	0.00	0.93
01.06.1991 07:30	0.00	0.93
02.06.1991 07:30	0.05	0.93
03.06.1991 07:30	2.55	0.80
